analysis_key,question_text,target_question,item,company_size_class,metric,value,n_valid,n_total,pct_valid,scale_label,scale_min,scale_max
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Daten aus der Lieferkette (Kunden, Lieferanten) nur schwer zugänglich",GU,mean_score,3.275,40,45,88.88888888888889,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Daten aus der Lieferkette (Kunden, Lieferanten) nur schwer zugänglich",KMU,mean_score,2.9047619047619047,21,23,91.30434782608695,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zu früher hergestellten Produkten (Materialien, Komponenten etc.)",GU,mean_score,2.85,40,45,88.88888888888889,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zu früher hergestellten Produkten (Materialien, Komponenten etc.)",KMU,mean_score,2.3684210526315788,19,23,82.6086956521739,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zum Ressourcenbedarf (Material, Energie,...) für die Produktaufbereitung",GU,mean_score,2.575,40,45,88.88888888888889,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zum Ressourcenbedarf (Material, Energie,...) für die Produktaufbereitung",KMU,mean_score,2.1666666666666665,18,23,78.26086956521739,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Bewertung/Befundung zurückgeführter Produkte,GU,mean_score,2.769230769230769,39,45,86.66666666666667,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Bewertung/Befundung zurückgeführter Produkte,KMU,mean_score,2.380952380952381,21,23,91.30434782608695,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Demontage zurückgeführter Produkte,GU,mean_score,2.324324324324324,37,45,82.22222222222221,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Demontage zurückgeführter Produkte,KMU,mean_score,2.0,20,23,86.95652173913044,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende allgemein methodische Kompetenzen für die Transformation zur Kreislaufwirtschaft,GU,mean_score,2.888888888888889,36,45,80.0,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende allgemein methodische Kompetenzen für die Transformation zur Kreislaufwirtschaft,KMU,mean_score,2.210526315789474,19,23,82.6086956521739,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Geringe Unterstützung/Priorisierung der Unternehmensleitung,GU,mean_score,2.8484848484848486,33,45,73.33333333333333,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Geringe Unterstützung/Priorisierung der Unternehmensleitung,KMU,mean_score,1.95,20,23,86.95652173913044,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Geringe Vorbereitung auf anstehende Regelungen (z.B. Packing Waste Regulation, Ecodesign Regulation, Circular Economy Act)",GU,mean_score,2.9714285714285715,35,45,77.77777777777779,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Geringe Vorbereitung auf anstehende Regelungen (z.B. Packing Waste Regulation, Ecodesign Regulation, Circular Economy Act)",KMU,mean_score,2.789473684210526,19,23,82.6086956521739,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Niedrige Preise von Neuprodukten,GU,mean_score,3.025,40,45,88.88888888888889,1-5 (Keine Antwort sind ausgeschlossen),1,5
hemmnisse,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Niedrige Preise von Neuprodukten,KMU,mean_score,3.619047619047619,21,23,91.30434782608695,1-5 (Keine Antwort sind ausgeschlossen),1,5
